음식,총가격,인원구성,요일 및 시간,날씨
"라볶이, 만두국, 참치순두부찌개, 멸치주먹밥, 참치찌개",30500,남(47) 남(54) 남(44) 여(24) 여(49),2024-01-13 06:36:00,맑음
"참치주먹밥, 참치순두부찌개, 참치순두부찌개, 얼큰해물라면, 오뎅, 새우볶음밥",39000,남(11) 여(38) 남(33) 여(16) 여(37),2024-07-14 16:45:00,맑음
"날으는 김밥, 날치알김밥",8500,남(46),2024-08-23 10:30:00,맑음
"된장찌개, 치즈떡볶이, 날치알김밥",17500,남(42) 여(50) 여(12),2023-11-21 21:24:00,맑음
"부대찌개, 치즈김밥, 오므라이스, 김치볶음밥, 만두국",33500,남(46) 남(27) 남(28) 여(33) 여(18),2024-09-23 12:00:00,비
"김치찌개, 비빔국수",14000,여(36),2024-02-18 14:15:00,맑음
"참치김밥, 부대찌개, 땡초진미김밥, 순두부찌개",24500,남(35) 여(14) 여(36) 남(58),2023-06-16 08:38:00,비
순두부찌개,7000,여(16),2024-07-12 00:57:00,맑음
라볶이,5000,남(32),2023-07-24 15:13:00,맑음
"부대찌개, 된장찌개, 치즈김밥, 땡초진미김밥",24500,여(34) 남(13) 남(38) 여(35),2024-03-15 07:06:00,맑음
"새우튀김김밥, 소고기주먹밥, 오뎅, 참치주먹밥, 육개장",25500,여(56) 여(57) 남(13) 여(11),2024-09-04 21:05:00,맑음
"땡초진미김밥, 돈까스",14500,남(27) 남(55),2024-09-20 01:54:00,맑음
"치즈김밥, 라볶이, 멸추김밥, 소고기주먹밥, 김치찌개",25500,여(53) 남(53) 여(15) 남(16) 남(44),2023-10-22 02:58:00,맑음
"떡볶이, 참치주먹밥, 날치알김밥",13500,남(58) 남(51),2024-02-25 17:27:00,맑음
"참치찌개, 참치비빔밥, 멸추김밥, 돈까스",29000,여(11) 여(30) 여(19) 남(49),2024-04-21 02:52:00,맑음
"날치알주먹밥, 참치순두부찌개, 만두라면",17000,남(30) 남(28),2024-03-21 00:48:00,맑음
"치즈라면, 참치와사비김밥, 군만두",14500,여(26) 여(28) 여(12),2023-07-10 13:13:00,맑음
"콩국수, 만두라면, 오므라이스, 만두국, 순두부찌개",34500,남(10) 남(41) 여(13) 남(38),2024-10-09 21:08:00,맑음
"김치볶음밥, 김치찌개",14000,남(47) 남(24),2023-06-08 21:49:00,눈
"떡국, 참치주먹밥, 생선까스",20500,남(21) 남(53) 여(52),2023-11-28 05:02:00,흐림
"된장찌개, 치즈돈까스, 날으는 김밥",20000,남(42) 여(26) 여(40),2023-10-15 19:06:00,흐림
"떡국, 새우튀김김밥, 참치찌개",19000,여(23) 여(18) 여(46),2024-06-16 17:02:00,흐림
"멸치주먹밥, 된장찌개",11000,남(36) 남(14),2024-05-11 01:51:00,비
"새우볶음밥, 새우튀김김밥, 비빔밥, 된장찌개",26000,남(26) 남(46) 여(25),2024-07-15 21:55:00,흐림
"뚝배기불고기, 떡볶이, 참치와사비김밥, 순두부찌개",24500,남(57) 남(21) 여(49) 남(29),2024-09-01 02:42:00,맑음
"라면, 치즈김밥, 참치비빔밥, 참치주먹밥",20500,여(48) 남(10) 여(34),2024-05-06 20:23:00,흐림
"계란말이김밥, 제육덮밥",12500,남(39) 여(18),2023-10-29 11:33:00,눈
"참치덮밥, 오불덮밥, 생선까스, 돈까스, 날치알주먹밥",38500,남(38) 여(54) 남(36) 여(15) 남(37),2024-10-29 11:55:00,비
치즈김밥,4500,여(58),2023-06-26 12:03:00,흐림
"만두국, 참치덮밥, 날치알주먹밥, 쫄면, 김치볶음밥",32500,여(37) 남(45) 남(14) 남(54) 남(57),2023-12-21 01:53:00,흐림
치즈떡볶이,5500,여(45),2023-12-02 08:32:00,흐림
"참치순두부찌개, 오므라이스",14500,남(23),2023-11-16 18:37:00,흐림
"순두부찌개, 오징어덮밥, 김치라면, 참치순두부찌개, 김치볶음밥, 날치알김밥",40000,여(39) 여(26) 여(44) 여(39) 여(32),2024-07-25 05:11:00,맑음
멸추김밥,5000,여(22),2024-03-24 14:14:00,맑음
"소고기주먹밥, 치즈떡볶이, 뚝배기불고기",17500,여(53) 남(54) 여(29),2023-09-18 22:31:00,맑음
"참치찌개, 날치알주먹밥",11000,여(20) 여(10),2023-12-24 13:02:00,맑음
된장찌개,7000,여(31),2023-04-14 16:57:00,맑음
"떡라면, 소고기주먹밥, 참치주먹밥, 날치알주먹밥",17500,여(11) 여(31) 남(11) 여(18),2023-11-12 12:03:00,맑음
"돈까스, 김치만두, 돈까스, 참치덮밥, 참치순두부찌개",38000,여(17) 남(50) 남(23) 여(23),2023-03-03 21:05:00,눈
"떡국, 떡라면",12500,남(58) 여(46),2024-02-28 05:35:00,맑음
"참치비빔밥, 오징어덮밥, 치즈돈까스",25000,여(48) 여(26) 남(56),2024-02-23 19:54:00,맑음
"오징어덮밥, 참치주먹밥, 떡볶이",16500,여(12) 여(18) 여(38),2023-11-14 10:38:00,맑음
"날으는 김밥, 오불덮밥",11500,여(34),2023-11-16 15:22:00,흐림
"날치알주먹밥, 날치알김밥, 김치볶음밥, 소고기주먹밥, 돈까스김밥",25000,남(11) 남(27) 남(12) 남(13) 남(35),2023-08-15 16:58:00,맑음
"된장찌개, 계란말이김밥, 김치볶음밥",19500,여(43) 남(57) 남(19),2023-12-16 11:02:00,맑음
"소고기주먹밥, 오뎅",8500,남(44),2024-07-30 10:48:00,맑음
오징어덮밥,8000,여(31),2023-11-25 04:31:00,맑음
"땡초진미김밥, 뚝배기불고기, 쫄면, 비빔밥",27000,남(32) 여(50) 남(10),2023-04-26 17:51:00,맑음
"참치김밥, 오징어덮밥, 부대찌개, 오불덮밥",28500,남(28) 남(41) 여(57) 남(28),2023-08-11 15:22:00,맑음
콩국수,8000,남(22),2023-03-12 23:06:00,눈
"라면, 참치찌개, 쫄면",18500,여(47) 남(40) 남(12),2023-04-29 09:35:00,맑음
"날치알김밥, 제육덮밥, 날치알주먹밥, 치즈떡볶이",21500,남(17) 여(31) 남(11) 남(45),2023-07-10 17:50:00,비
"참치주먹밥, 참치주먹밥, 소고기주먹밥",12000,여(27) 여(24) 남(53),2023-06-24 23:43:00,맑음
"오뎅, 김치볶음밥",11500,남(38),2023-12-21 20:28:00,맑음
"참치주먹밥, 잔치국수",11000,남(39) 남(56),2023-09-22 13:26:00,흐림
"치즈라면, 땡초진미김밥, 오므라이스, 치즈돈까스, 고구마돈까스",36500,여(39) 여(55) 남(57) 여(36),2024-05-19 09:02:00,맑음
"김치찌개, 우동, 오징어덮밥",21000,남(40) 여(19) 남(22),2024-07-05 04:36:00,맑음
"육개장, 김치찌개",15000,남(35),2023-03-06 04:07:00,맑음
"뚝배기불고기, 뚝배기불고기",16000,여(53),2024-03-15 09:18:00,비
참치찌개,7000,남(29),2024-05-01 04:40:00,맑음
"멸치주먹밥, 치즈돈까스, 참치찌개, 순두부찌개, 부대찌개, 순두부찌개",42500,남(19) 남(26) 남(29) 남(49) 남(56),2023-07-01 21:31:00,맑음
"비빔국수, 얼큰해물라면, 뚝배기불고기",23500,남(16) 여(13),2024-02-24 04:19:00,눈
"멸치주먹밥, 육개장, 참치비빔밥",19500,남(57) 남(40),2024-10-22 05:10:00,비
"고구마돈까스, 오뎅, 참치주먹밥, 계란말이김밥",23500,남(44) 여(35) 여(45) 남(12),2024-06-22 19:17:00,맑음
"떡국, 라볶이",12000,남(57),2023-09-28 11:41:00,흐림
"계란말이김밥, 멸치주먹밥",9500,여(57),2024-01-22 12:01:00,눈
"오므라이스, 참치와사비김밥, 얼큰해물라면, 김치찌개, 돈까스, 멸치주먹밥",41000,남(37) 남(22) 여(55) 남(12) 남(40),2023-11-13 23:27:00,맑음
"제육덮밥, 참치주먹밥",11000,남(22),2024-10-29 05:04:00,맑음
소고기주먹밥,4000,여(44),2024-10-27 20:10:00,눈
"소고기김밥, 소고기주먹밥, 참치덮밥",16500,여(58) 남(30),2024-06-20 06:52:00,맑음
"참치찌개, 순두부찌개, 땡초진미김밥, 오므라이스",26000,여(25) 여(48) 여(29) 남(25),2024-04-24 09:05:00,맑음
"참치주먹밥, 돈까스",13500,남(50) 남(17),2024-01-28 02:09:00,맑음
"참치찌개, 떡국, 오징어덮밥, 순두부찌개",29000,여(60) 여(34) 남(43),2024-01-20 16:21:00,맑음
"콩국수, 참치와사비김밥, 군만두, 고기만두",21000,남(52) 남(15) 남(26) 여(20),2023-06-06 08:12:00,맑음
"참치순두부찌개, 계란말이김밥",13000,여(19),2024-10-30 18:44:00,맑음
된장찌개,7000,남(13),2023-06-15 06:49:00,맑음
"오뎅, 뚝배기불고기, 날치알김밥, 새우볶음밥",24500,여(36) 남(54) 여(59),2023-08-05 02:55:00,맑음
"소고기김밥, 날치알김밥, 오징어덮밥, 비빔국수",25000,남(35) 남(54) 여(60),2024-01-05 09:29:00,맑음
"오징어덮밥, 참치비빔밥, 날치알주먹밥",19500,남(53) 여(38) 남(45),2023-06-08 01:23:00,흐림
"참치순두부찌개, 제육덮밥",14500,여(39),2024-06-18 03:28:00,흐림
"떡라면, 김치찌개, 순두부찌개, 순두부찌개, 라볶이",31500,남(39) 남(23) 남(19) 여(14),2024-09-04 17:38:00,흐림
"날으는 김밥, 땡초진미김밥, 소고기주먹밥, 멸치주먹밥, 된장찌개",23500,남(18) 남(21) 여(56) 여(32),2023-09-22 14:08:00,눈
오뎅,4500,남(24),2023-11-05 06:55:00,흐림
"부대찌개, 만두국, 계란말이김밥, 고구마돈까스, 치즈돈까스, 만두라면",45000,남(28) 여(59) 여(11) 여(29) 여(26),2024-05-30 08:16:00,비
"참치찌개, 부대찌개, 육개장, 순두부찌개",30000,여(38) 여(41) 여(49),2023-09-24 05:00:00,맑음
"참치김밥, 부대찌개, 새우튀김김밥",17500,여(51) 남(20),2024-02-02 23:51:00,흐림
"날치알주먹밥, 새우볶음밥",11000,여(23) 여(55),2023-03-01 11:24:00,맑음
"참치주먹밥, 참치김밥, 참치덮밥",16000,남(46) 남(35),2024-10-03 19:50:00,흐림
"생선까스, 참치주먹밥, 소고기주먹밥, 된장찌개, 날치알주먹밥",28500,남(24) 남(27) 남(19) 남(36),2023-08-11 15:21:00,맑음
"순두부찌개, 참치순두부찌개",14500,남(55) 남(26),2024-10-06 09:07:00,맑음
"돈까스, 순두부찌개",16500,여(47),2023-06-04 06:52:00,맑음
"멸추김밥, 잔치국수",12000,남(25) 남(47),2024-10-06 04:21:00,맑음
"떡국, 순두부찌개, 계란말이김밥",19500,여(18) 여(27) 여(53),2023-09-07 21:17:00,맑음
"새우튀김김밥, 김치만두, 멸치주먹밥",13000,여(42) 여(57) 여(36),2023-07-25 15:40:00,비
"뚝배기불고기, 된장찌개, 날치알주먹밥, 뚝배기불고기, 떡국, 치즈돈까스",43500,여(22) 여(52) 여(50) 남(40) 남(28),2023-03-19 22:57:00,비
"된장찌개, 땡초진미김밥, 땡초진미김밥, 육개장",25000,남(28) 남(58) 남(37),2023-09-06 10:34:00,맑음
"날치알주먹밥, 땡초진미김밥",9000,여(13) 남(51),2024-06-21 09:55:00,맑음
"치즈라면, 참치덮밥, 순두부찌개, 제육덮밥, 소고기주먹밥, 생선까스",40500,남(15) 남(53) 여(59) 남(60) 남(30),2024-02-17 13:56:00,흐림
"콩국수, 참치비빔밥, 소고기김밥, 멸치주먹밥, 참치김밥",29000,남(23) 여(56) 여(50) 여(49),2023-09-01 10:43:00,비
"김치찌개, 고구마돈까스",16500,여(14) 남(26),2023-05-08 06:46:00,맑음
"계란말이김밥, 참치주먹밥, 잔치국수, 김치찌개, 멸치주먹밥",27500,여(14) 여(60) 여(46) 여(31) 여(43),2023-05-29 02:31:00,눈
"김치라면, 날치알주먹밥, 소고기주먹밥, 참치주먹밥, 날치알김밥, 김치라면",28000,여(13) 남(34) 남(13) 남(29) 여(11),2024-10-24 01:09:00,맑음
"새우튀김김밥, 김치찌개, 날으는 김밥, 참치주먹밥, 계란말이김밥",25000,남(52) 남(37) 여(25) 남(31) 여(26),2024-09-04 21:54:00,맑음
"쫄면, 김치라면, 부대찌개",20500,여(44) 남(23) 남(40),2023-10-09 07:14:00,맑음
"날치알주먹밥, 생선까스, 멸치주먹밥, 새우볶음밥, 참치비빔밥",32000,남(25) 여(32) 남(12) 여(34),2023-07-14 15:28:00,맑음
"비빔국수, 육개장, 날치알주먹밥",19000,남(15) 남(14),2024-02-17 15:31:00,흐림
멸치주먹밥,4000,여(22),2023-05-21 08:13:00,맑음
"비빔밥, 육개장, 고기만두",19000,남(24) 남(51) 남(50),2024-08-13 05:10:00,비
"뚝배기불고기, 참치주먹밥, 뚝배기불고기",20000,남(49) 남(21) 남(22),2024-02-04 00:26:00,비
참치찌개,7000,여(17),2024-05-16 10:35:00,맑음
"돈까스, 참치덮밥, 돈까스",26500,남(17) 여(51),2023-09-16 22:04:00,맑음
"땡초진미김밥, 참치주먹밥, 비빔국수, 소고기주먹밥",20000,남(23) 여(39) 남(30),2024-09-20 05:52:00,흐림
"참치비빔밥, 육개장, 김치볶음밥, 뚝배기불고기, 치즈떡볶이",36000,여(27) 여(35) 여(56) 남(35) 여(21),2023-06-13 17:49:00,눈
"김치찌개, 뚝배기불고기",15000,여(21),2023-04-18 07:20:00,맑음
"날치알주먹밥, 날치알주먹밥",8000,남(26) 여(32),2023-09-27 18:54:00,맑음
"날으는 김밥, 오므라이스",10500,여(54) 남(25),2023-11-28 17:25:00,비
"날치알주먹밥, 참치주먹밥",8000,여(34),2023-11-04 13:17:00,맑음
"날치알주먹밥, 콩국수, 잔치국수, 날치알김밥, 참치김밥",28500,남(44) 남(12) 남(58) 남(53),2023-12-20 03:54:00,흐림
"참치순두부찌개, 떡볶이, 계란말이김밥, 비빔밥, 콩국수, 오불덮밥",40500,여(34) 남(30) 남(28) 남(25) 여(15),2024-03-16 14:19:00,맑음
"날치알주먹밥, 떡볶이, 소고기주먹밥",12500,여(34) 여(19) 여(19),2023-05-31 19:38:00,맑음
"김치볶음밥, 얼큰해물우동, 뚝배기불고기, 날치알김밥",28500,여(58) 남(14) 여(15),2023-11-01 21:15:00,맑음
"된장찌개, 참치비빔밥, 치즈라면, 고구마돈까스, 참치와사비김밥",34500,남(22) 여(49) 남(41) 남(34) 남(58),2023-07-20 06:52:00,맑음
"김치볶음밥, 육개장, 오불덮밥, 소고기김밥",28000,남(18) 남(19) 여(44),2023-08-22 07:17:00,맑음
"날치알주먹밥, 날치알김밥, 치즈돈까스, 새우튀김김밥",23500,남(23) 남(38) 남(21) 여(15),2023-07-14 22:45:00,흐림
"돈까스, 순두부찌개",16500,남(18) 여(56),2024-08-21 16:14:00,맑음
"멸치주먹밥, 참치주먹밥, 날으는 김밥, 오불덮밥",19500,여(51) 여(35) 여(57) 여(25),2024-08-16 16:55:00,흐림
"고구마돈까스, 멸치주먹밥, 땡초진미김밥, 뚝배기불고기, 날치알주먹밥, 날치알김밥",35500,남(58) 남(20) 여(10) 여(40) 여(55),2023-12-17 19:50:00,흐림
"라볶이, 뚝배기불고기, 우동, 멸치주먹밥",23000,남(29) 여(21) 남(19),2023-09-15 16:23:00,맑음
"우동, 소고기주먹밥, 얼큰해물우동, 참치주먹밥",22500,남(53) 여(27) 남(25),2024-08-16 08:56:00,맑음
"쫄면, 우동, 참치주먹밥, 날치알주먹밥, 김치찌개",28000,여(25) 남(13) 여(26) 남(45),2024-04-12 06:07:00,맑음
"잔치국수, 떡국, 날치알김밥, 참치찌개",26000,남(54) 남(32) 남(31) 여(57),2023-10-19 13:30:00,눈
김치찌개,7000,남(20),2024-06-21 03:59:00,맑음
소고기주먹밥,4000,여(43),2024-07-30 11:30:00,맑음
"오불덮밥, 소고기주먹밥",12000,여(11),2024-02-05 00:03:00,맑음
"오불덮밥, 김치찌개, 생선까스, 육개장",32500,여(10) 여(24) 여(30) 남(25),2023-04-06 20:16:00,맑음
된장찌개,7000,여(20),2024-02-08 04:48:00,맑음
"참치김밥, 참치순두부찌개, 소고기주먹밥, 돈까스김밥",21000,여(35) 남(57) 여(55),2023-12-21 14:53:00,맑음
"참치순두부찌개, 치즈라볶이, 소고기주먹밥, 참치주먹밥, 계란말이김밥, 치즈김밥",31500,남(51) 여(54) 남(43) 여(49) 남(32),2024-03-12 10:12:00,맑음
"치즈김밥, 참치순두부찌개, 날치알김밥, 뚝배기불고기, 얼큰해물라면, 고기만두",37500,남(23) 남(34) 여(39) 남(55) 여(21),2023-08-03 06:48:00,맑음
"소고기김밥, 땡초진미김밥, 치즈떡볶이, 참치순두부찌개, 만두라면",28500,남(58) 남(50) 남(49) 여(55) 여(19),2023-12-14 23:02:00,흐림
"참치비빔밥, 멸치주먹밥",11500,남(50) 남(14),2023-07-21 07:58:00,맑음
"육개장, 새우튀김김밥",13000,남(14),2023-06-29 14:04:00,비
