단어,빈도
용인3,32
30년,449
4곳,806
600억,61
1965년,21
8만,514
215만,288
126만,202
4차,575
2만,2176
15인,15
1450원,28
11개,332
GC녹십자그룹,5
5500여명,3
2001년,92
4980명,3
SK에코플랜트,191
SK건설,128
300조,813
10기,15
4분,130
14곳,144
18곳,90
69곳,14
2029년,166
6만,703
493억,16
50년,102
1주일,281
130여명,24
123명,38
631억,16
723명,15
126억,25
영덕1,37
1장,42
60주년,13
5000억,75
D건설,4
46조,4
60조,56
360억,14
450억,37
457억,1
3달,10
30곳,98
1000억,120
1300억,15
2곳,796
672억,14
58번,39
3연패,34
701점,6
734점,5
714점,5
697점,2
4위,230
364점,7
750점,8
553점,4
788점,1
7위,95
116점,1
4관왕,34
14분,66
7분,68
36분,28
40분,155
50분,119
25분,76
690번,7
1번,554
502번,20
1시,430
10분,426
169면,19
339면,26
7만,621
472건,4
1개,544
78억,84
675평,6
1253억,15
37만,105
56명,78
2050탄소,35
2단계,331
271명,38
230명,26
252명,13
30여명,104
37명,188
81명,40
76명,89
57명,75
34명,174
54명,135
33명,160
214명,20
394명,13
30분,604
GS건설,511
2일원,5
23층,55
201가구,18
109가구,17
20가구,88
4베,95
5급수,3
2급수,14
23곳,78
51곳,30
37곳,18
88곳,4
100곳,63
2017년도,9
240종,2
857억,2
2011년,316
100선,3
3백,19
140년,1
18개월,42
10대,303
9건,115
12건,67
10건,189
2건,331
500만,618
230만,16
740만,3
8억,1062
파72,746
748야드,341
11시간,25
509억,23
164억,21
132억,46
212억,7
185개,47
12차례,18
30억,209
53억,26
25억,191
16억,219
415세대,3
GTX-C노선,87
20여,260
1000명,232
1020명,26
5인,277
657명,70
363명,51
2.5단계,113
1045명,6
1050명,12
967명,17
1028명,8
820명,34
941명,4
35명,154
206명,34
71명,78
97명,57
351명,17
437만,5
5층,87
12호,19
13호,14
25명,314
6~12세,10
14호,8
15호,9
23개,120
2~3개월,23
8720원,11
2000가구,55
10번,439
6개,844
321호,202
2순위,69
2025년,1010
300여명,89
CJ프레시웨이,33
12사,9
2시,601
SW개발,9
4만,1246
8.54유로,1
4조,167
BNP파리바,2
14위,17
32살,5
528억,5
2864대,15
769명,7
11명,716
150여가지,3
평택2,3
43만,76
5마리,64
55명,64
6차례,100
20번,50
430여,2
415만,236
50여,287
4~5년,28
4760억,8
7000여,20
94개,7
80여곳,1
269억,20
191억,12
59억,27
58억,27
41억,85
40억,193
199만,15
2009년,217
5929만,14
2000만,394
9개,484
모델Y,26
LG에너지솔루션,48
모델X,11
모델S,8
A골프연습장,4
9홀,17
A연습장,3
82호,105
장지IC,33
498억,11
4차로,171
2차로,143
2차,939
7300대,9
64건,32
165억,19
2027년,502
710만,303
28대,23
266회,10
18~22일,5
189회,8
9~10월,26
40석,6
70석,41
2000명,117
6900명,4
133회,12
193회,10
15대,30
56회,10
98회,17
24회,22
31회,23
160회,10
192회,10
11대,47
251회,10
313회,10
62회,2
230회,12
275회,8
21회,21
38회,11
226회,10
289회,10
63회,4
118회,7
26회,26
36회,9
10회,87
61회,8
87회,8
2주년,36
7천만,51
15곳,209
5851명,8
24명,269
26명,224
5394명,6
381명,14
70개,35
34개,32
25도,27
60년,42
3대,308
17.5도,16
30도,80
4회,182
94명,45
550조,25
2자녀,76
157가정,2
정부24,57
보조금24,16
경주보문CC,2
2006년,179
107곳,13
16번,49
38개,186
95개,11
L자형,54
40여분,15
1개월,164
5배,137
12인치,4
6000억,61
16년,137
120조,558
50개,178
3000억,109
6380억,5
2800억,11
513조,83
188조,97
3각축,5
D램,94
10층,118
C등급,45
1620가구,9
1806가구,2
1758가구,5
1988가구,1
1316가구,2
1512가구,1
부동산114,123
56곳,27
30조,38
9000여가구,1
593건,6
204명,23
178명,23
142명,30
21명,248
201명,25
124명,48
5시간,103
7개,699
8분,44
1602건,1
57개,21
1차,613
t가량,5
SK측,14
26만,143
7회,70
30대,457
C군,16
3개월,890
20여전,1
32억,89
A기업,5
26년,57
9세,62
1주,191
636명,5
20대,472
9.3명,3
7.3명,1
7.2명,4
7.9명,5
112명,25
60세,207
5가지,51
100원,55
1000원,115
2000원,54
gs더프레시,1
3곳,893
470원,3
5개월,300
39곳,55
4주,201
7000만,159
23억,107
4사,19
529.92점,8
701.8점,9
23건,55
TF팀,141
1회,612
6인,31
2024년,900
10여,297
5회,103
4량,1
6량,3
84동,7
14동,12
39동,7
137동,7
55동,7
54동,7
64동,1
132점,7
21세,23
27세,11
68곳,6
7800달러,2
8100달러,2
1350달러,2
3400달러,2
1356.8원,1
2시간,367
35억,85
52명,68
1734명,2
1770명,2
88명,99
1117명,3
565명,11
1800명,10
1211명,13
52일,7
21건,76
14건,64
7건,165
619명,11
7부,3
25시간,3
SK벤티움,3
1.6배,17
5.8배,5
2.2배,18
최소1,1
4건,199
8293건,7
3314건,5
159명,22
246건,11
368건,11
265건,7
419건,8
108건,21
78건,37
4561건,7
3분,371
1가량,25
6회,100
1000여명,50
32명,171
41명,63
27명,182
799명,8
삼성SDS,20
200억,242
377건,6
258명,19
2가지,27
5419표,6
4879표,6
4789표,6
Y버스,55
3877표,6
2028년,338
3831표,6
3530표,6
3328표,6
3186표,6
2911표,6
2885표,6
동탄2,711
317호,11
GTX용인역,138
23번,64
45호,561
1800만,27
R&D센터,200
JW타워,5
GS엘리베이터,5
60여명,49
330여명,8
010만,2
20채,2
30채,2
10채,7
더클래식500,6
5분,193
600여명,21
75만,59
KB라이프생명,3
KB라이프,1
KB골든라이프케,2
NH농협생명,15
1000만,620
15층,106
810실,1
18억,215
810가구,4
16층,33
536가구,2
70곳,35
2세,11
900만,72
600만,279
554야드,99
3900만,13
7대,50
150명,135
381개,20
299개,5
16개,261
82개,23
3774곳,1
1건,314
144시간,11
661건,1
76대,14
50곳,58
235명,30
536명,16
771명,10
1차관,96
622조,133
33곳,33
17곳,125
15만,399
챗GPT,33
1화,1
8가지,13
3인,130
50억,277
3~4차례,1
홍OO,1
300억,178
320억,15
1채,57
131평,2
603호,2
10개월,156
5503억,3
8차례,25
TV토론,15
62억,24
95차례,1
39세,319
1500원,11
3800원,10
57호,50
1960년대,37
836명,2
43명,149
127명,61
161대,4
26억,122
135대,1
125명,96
106명,60
28억,119
93억,28
6천만,72
9억,568
화성동탄2,5
51만,75
1900억,19
2023년,881
553억,5
1277억,5
3천만,148
100여,243
20개,235
422개소,10
18개,156
12.63대,5
13억,264
11만,305
1721세대,38
736세대,3
36개,41
4043세대,2
331가구,3
560명,11
828명,11
86명,56
4.3배,5
3배,300
A학원,8
324명,10
B학원,2
C학원,2
108명,41
78명,67
510명,17
1590세대,12
15세,140
5단계,52
0점,20
10점,41
5점,32
6.2점,17
3호,690
K멜팅포트,1
120세대,8
57번,7
10미터,6
산70,1
99만,22
18홀,28
120년,9
5파,1
36명,156
140여명,26
205명,37
105명,32
67명,75
300세대,58
50배,26
29곳,56
32곳,49
15건,157
10단독,1
3300만,47
1200만,79
10조,71
500여,90
24시,11
60평,10
2~3곳,5
6차,48
동백1,37
GTX-A노선,167
20층,198
112가구,13
71가구,5
2채,36
000명,102
양지CC,6
지산CC,7
아시아나CC,87
329호,20
20여점,5
1984년,25
1987년,28
1988년,36
3차례,113
1989년,16
200여건,24
30여건,16
5차로,3
4807억,2
1534억,3
13번,77
2대,340
3팀,60
50여명,118
27년,84
11~12월,28
90명,57
161명,37
79명,71
3차원,23
67만,11
씨XX,1
596명,4
100병상,1
5천만,189
10가정,5
40년,225
2004년,121
150억,140
300여,114
333대,1
244대,2
28곳,32
392건,6
10여명,127
230억,14
500억,198
QR코드,269
26곳,72
80여,54
120일,18
90일,72
46만,73
144만,10
A노선,124
12팀,9
187명,31
88위,1
p차,6
47개소,24
112신고,41
14~16일,30
1000매,6
4시,439
36억,83
7층,75
13층,158
3마리,57
2마리,198
1마리,307
8000원,58
300원,35
1800원,10
113면,9
SM경남기업,9
양지IC,68
34세,84
7500여,1
850여,5
2250만,2
3250만,18
214억,119
10여년,81
13만,232
1단계,279
43개,12
10~30년,2
406명,54
2618건,13
451건,15
161건,16
5556대,1
130달러,2
100달러,5
2020~2021년,20
2026~2027년,2
28번,18
80년,23
7~8월,56
1990년대,65
90점,11
9번지,22
500여명,44
2물,1
한성CC,50
SSG닷컴,112
70대,185
226개,15
21만,161
수지1,13
28~30일,36
23팀,8
30팀,10
11팀,15
72팀,9
7인,62
IT엔지니어,11
250여명,36
548곳,4
90만,67
247만,13
74만,23
안성바우덕이휴게소IC,3
306호,7
370만,23
92억,27
28만,119
72억,11
301.7평,1
7주년,6
610여,2
138개,10
620호,2
2천만,146
5백만,14
3백만,8
2백만,7
1백만,4
스탠딩TV,1
3000가구,23
3731가구,67
1블록,108
1043가구,7
2블록,108
3블록,35
1318가구,8
1370가구,13
고산IC,9
2호,226
448만,58
40여명,100
5000여명,75
vs김동연,1
641명,36
146명,80
C씨,587
311건,20
131건,21
130억,44
20곳,154
만19,13
95웨클,17
90~95웨클,16
85~90웨클,16
7000여만,8
100포,21
725명,13
772억,15
4천만,77
8개월,177
185만,14
15번,28
2번,322
13시,17
17시,11
18시,27
1~2곳,1
30주년,29
5750만,3
3평화공원,2
2동,39
245명,9
11번,202
9조,83
6배,50
6조,128
C단계,1
2085억,3
2858억,2
1778억,6
1927억,7
DL이앤씨,323
3225억,4
3926억,1
500개,34
5000번,33
5001번,49
36대,10
94번,4
1921대,6
생활SOC,12
통합환경관리제도2.0,4
400여,101
1절,15
820여,7
538건,13
1551억,5
69억,25
208건,9
77억,25
2678건,5
533억,6
B업체,22
3종,102
7정거장,6
3군,9
6900만,22
8500만,29
16만,205
170억,67
SK그룹,171
1656명,4
18시간,14
1037명,2
1987명,9
37일,7
5면,36
5~6개소,2
41만,44
000원,103
73만,44
169억,22
242대,21
165대,21
77대,11
44대,38
9대,74
77번,23
18번,144
501번,12
21번,26
53번,13
68번,12
33대,21
810번,11
흥덕11,10
15단지,14
86점,11
3.5터보,9
4900만,14
7500만,70
TV토론회,9
69만,215
2676억,6
4500만,70
9100만,7
3600만,27
8300만,7
8700만,6
2500만,92
5691명,6
0.84명,9
5990명,5
299명,23
3사,105
338명,24
731세대,24
4층,256
108세대,4
114세대,3
216세대,2
309세대,2
24세대,11
154세대,3
28세대,4
23세대,2
2세대,24
6세대,14
38세대,4
26세대,3
56세대,3
9세대,2
10세대,11
54세대,14
408세대,2
380세대,14
69세대,3
84세대,4
76세대,4
4세대,27
130세대,3
44세대,4
29세대,3
166세대,2
172세대,3
303세대,3
121세대,2
243세대,2
51세대,9
3세대,14
1주택,11
포곡IC,82
오포IC,27
모현IC,39
2274곳,5
9879대,5
1918년,7
450여,6
KB국민,31
210억,21
2개월,260
63빌딩,13
People&Culture팀장,1
1173명,8
1141명,1
1114명,3
59명,84
94교,4
80교,4
970명,6
92명,28
445명,34
100여명,159
4350명,5
17만,118
480명,54
1300명,12
5호,129
100여곳,11
4차례,82
78개국,9
221곳,18
4호,115
7190억,2
1공구,46
9공구,34
10세,30
스튜디오G,10
4대,188
2장,24
SK하이닉스측,1
205만,16
750만,23
128건,11
4060세대,2
51개,25
50세,56
730명,6
184명,15
삼성SDI,191
200가구,46
033명,5
016명,2
69대,10
754건,1
63.7대,1
286건,12
24층,38
763세대,1
384세대,1
310세대,3
2번지,143
4차선,113
2캠퍼스,3
471번지,1
1265세대,2
1314세대,1
1045세대,1
825세대,1
7153세대,1
6280세대,1
4395세대,1
3342세대,1
3055세대,1
서희스타힐스1,5
2단지,99
13분,15
74건,18
76곳,26
42회,20
40회,24
3000번,6
3002번,5
1101번,5
30번,10
80년대,12
62기,1
3800명,5
2429명,1
4016명,1
3000선명,1
18만,129
1745명,1
20권,29
11포인트,7
10권,39
1작품,11
31점,19
840만,11
1994년,58
30회,22
585명,12
156명,28
113명,80
51명,91
741명,2
163명,30
110명,78
29명,196
288명,7
2024시즌,14
6주,51
2경기,12
4강,53
2025시즌,7
12패,2
5위,177
747명,5
20~21일,9
22~23일,12
3시간,270
21개,109
5500명,12
1500여,31
7차례,51
2000년대,52
6번,74
16~21대,1
75년,4
8형,92
7개월,160
곤지암IC,3
20분,483
1종,19
90곳,16
8건,102
5건,166
A식품접객업소,6
B식품접객업소,4
C업체,5
31일부,6
95곳,4
58곳,26
228만,130
8차선,32
42호,198
90여일,6
461번,2
87명,26
35주기,5
1평,15
2767만,1
870명,2
682명,7
118명,52
228명,15
3.6배,5
174명,19
93곳,21
495개소,1
오산세교3,58
구리토평2,23
9000호,8
제주화북2,20
5500호,9
433만,22
131만,25
88만,28
130만,95
39만,66
92만,63
200대,20
540명,42
6797건,1
200건,8
14층,68
세류IC,19
NC몰,10
동탄1,40
LS일렉트릭,89
450년,16
g가량,1
2050가구,1
2.3일,3
73억,20
6세,75
KCC건설,36
2280억,16
2207억,7
5차,44
1978억,1
2159억,3
4960억,1
4360억,1
3070억,1
1333억,1
2288대,8
336대,6
240만,28
1세대,13
48만,110
7730명,7
6260명,7
6010명,7
48시간,41
1등,211
3차로,24
100년,131
4편,12
48개월,6
1950여개,1
180곳,10
4번지,57
65만,50
4000여명,24
22조,34
495만,4
82억,18
6000가구,6
1360억,1
850여억,1
KGC인삼공사,7
3차,182
댕댕런2021,1
16종,56
6096가구,6
5302가구,5
31블록,2
행정중심복합도시63,1
MZ부부,1
194.91점,1
216.68점,1
20점,24
100점,39
50점,19
490점,2
1576가구,2
1282가구,8
203.02점,1
296가구,1
36가구,13
64가구,5
424가구,11
214가구,8
20세,42
8팀,26
2팀,23
529대,1
2.7배,20
8단지,8
4단지,47
365가구,3
35.15대,1
26층,42
133가구,18
327가구,16
1681가구,121
35개,72
4읍,27
A산후조리원,6
44명,137
38억,107
71억,55
616만,3
44억,23
6400만,25
7300만,14
LF콜렉트,1
760억,5
4000원,44
776억,1
52억,30
73가구,4
286억,7
290억,19
2967만,1
1748만,1
133억,8
A단체,1
160억,45
B단체,1
121억,11
C단체,1
94억,16
900명,39
SK텔레콤,144
T팩토리,2
340명,19
200명,286
LG전자,199
LG디지털파크,4
240여,6
200여,148
4대그룹,1
Z플립,2
TF단,40
250여,42
19억,122
fn패트롤,3
30평,37
12종,15
13집,1
14집,1
158번,1
7000원,48
1000도,9
102명,72
4000명,55
2556억,25
2000억,111
360조,306
226만,90
41년,33
20조,159
122조,305
502조,22
70여,118
87만,29
5876명,5
365명,14
5434명,3
5380건,3
64개,17
26개,67
19건,65
2910만,4
485만,5
559원,6
80명,154
0세,113
459명,31
1세반,9
310명,26
129명,11
439명,5
313개소,2
333개소,1
2개소,41
35개소,8
370개소,15
A등급,105
0세아,2
90여,27
3살,17
2차례,91
4살,24
7살,5
373회,7
514회,7
26대,26
16회,22
18회,17
25회,19
LS에코에너지,48
LS전선,48
1500명,48
농업CEO,4
3000여명,17
800여만,21
ABL생명보험주식회사,3
1992년,50
343건,14
94건,28
6건,142
13곳,211
7831건,1
7829건,2
6300여건,1
400가구,16
400세트,4
TR구성점,12
38년,7
33조,5
2시간가량,6
40여,181
41개,31
PC방,77
000여곳,2
91곳,22
647톤,3
238톤,8
2921만,3
22억,220
200개,34
301억,18
288억,7
21살,6
8라운드,63
16점,14
259점,1
11점,2
17분,38
강남300,2
SK하이닉스반도체,6
46분,9
8주,44
366가구,15
127가구,18
50가구,58
25가구,29
10분대,44
GTX-F노선,10
8회,62
33만,111
50장,4
2등급,50
3월말,9
BRT시스템,1
1354일,12
120만,140
44년,14
122억,11
1~4위,4
50.4명,1
9.81명,1
58명,103
53명,116
1900원,2
9700만,5
831건,4
321건,1
42명,149
6대,106
17억,196
57곳,20
38곳,23
1997년,51
24세,62
60일,74
A사,219
83만,188
22개월,20
9동,11
79만,26
71만,45
367만,11
공감TV,6
3항,33
4필지,40
8~10년,4
189개,15
160여곳,8
6327만,1
7852만,1
9029만,1
3496만,1
1058마리,5
393마리,4
281마리,4
12개월,74
8천만,28
6500세대,1
60여만,9
46주,3
88대,3
SK일렉링크,3
36곳,28
42억,85
71대,7
297건,12
99억,15
3등,109
782명,9
90여만,7
180억,14
27억,92
57분,2
HL디앤아이한라,214
29층,191
165세대,23
7블록,3
427실,2
45실,2
94실,3
2.5톤,3
1.2톤,2
5톤,4
IC진입,1
서용인IC,52
122명,21
361명,11
4100명,2
1200명,20
495명,10
1924명,3
1242명,1
1195명,2
1158명,1
1074명,6
997명,9
931명,1
915명,4
740억,5
레벨4,18
267명,15
22건,77
3500억,8
400억,68
3433억,1
80억,100
3068억,1
LNG값,1
2204억,1
2분기,128
70평,4
3.5배,24
10배,91
시즌2,30
K클래식,2
275만,212
236호,2
5000본,1
400본,3
200본,1
13번지,22
9점,15
5325가구,8
6399대,1
2193대,1
5500만,28
1050만,7
350만,42
330여대,2
아이오닉6,5
415억,23
125억,23
190억,22
35번,11
1180억,9
801명,10
321명,5
755만,11
578만,8
162만,12
63만,30
55만,75
SC제일,7
2등,147
6411만,4
3270명,4
4등,92
5등,91
250만,128
29번,9
103호,12
5번,184
불당25,5
118호,7
14길,7
44호,17
25년,142
4급,80
86개,81
30~39세,7
40~49세,8
마북IC,35
160건,16
95건,22
m급,3
7조,53
000억,63
21조,12
45대,11
9천만,24
325호,53
5900여만,2
927만,12
4가지,50
60가구,20
16인,2
8500호,2
1000호,6
6000호,9
청주분평2,12
3000호,4
85면,18
261면,14
1950호,11
LNG발전소,10
1082번,12
08시,2
5600만,51
1일자,22
3권,36
1980년,24
1975년,24
9회,40
160석,1
16차례,61
721세대,26
용인IC,135
71번,25
855번지,27
20주년,19
6가지,10
SS이슈,4
2042년,380
43곳,32
166실,28
1005가구,4
451가구,4
434가구,3
65살,10
16대,24
83회,3
121회,5
10~20분,6
18대,31
28건,28
1차로,58
9년,136
9803만,1
1시간가량,21
140대,1
6~11시,1
900억,51
7511억,9
211억,27
95명,39
47만,52
789건,2
128억,11
31억,71
120억,77
5223만,1
3459만,1
6877만,1
3495만,1
4801만,1
3008만,1
3306만,1
4030만,2
5943만,1
27개,81
60개,14
71건,13
2구간,26
671개소,3
718건,7
A법인,35
B법인,24
D법인,11
631만,6
619만,6
608만,6
641만,5
23만,159
22만,126
973만,9
5132만,4
2556만,5
2575만,5
45곳,26
178곳,5
36만,120
64세,26
3593만,4
35만,101
49세,25
1790만,5
30건,51
50여곳,13
202차례,2
970여만,1
25건,98
10종,23
170평,5
2021~2023년,26
91만,35
49만,60
60만,202
229만,18
238만,37
180도,20
24년,72
8000명,14
1400만,61
1300만,50
5264만,9
967만,14
1.4배,39
1038만,6
361만,11
1036만,14
1027만,11
1967년,26
1100만,27
307만,9
122만,42
2020~2040년,2
2040년,36
994개,3
1640명,6
220억,36
10번지,12
61세,8
12마리,26
3~4개월,39
2실,3
2개국,12
63과,6
7번지,72
139세대,18
20분대,3
851억,19
300여장,1
48억,75
e스포츠,23
IOC차원,1
72곳,12
300명대,5
346명,62
1240명,12
1027명,9
714명,24
838명,15
869명,17
674명,19
451명,37
537명,27
561명,33
524명,28
512명,22
580명,27
520명,53
389명,23
404명,32
401명,21
314명,14
BTJ열방센터,100
797명,17
224명,18
295명,26
862건,3
13점,5
18배,24
55건,51
48건,32
821억,2
87억,22
13곳의,1
2237만,3
3박자,14
007작전,1
260여팀,2
1급수,49
1998년도,12
3급수,24
1등급,117
25종,10
41종,9
259억,13
646개소,2
2830대,4
1480개소,2
6394대,4
1000여,53
45명,95
60여,107
44세,7
NH농협은행,50
11월말,16
SC제일은행,17
9월말,10
5개국,15
9000억,25
e편한세상용인한숲시티,16
12회,52
2인,144
158곳,14
광명2,18
안성1,4
안산5,1
수원7,9
2회차,23
27~28일,7
22.33대,15
437가구,16
800가구,24
336만,12
e편한세상,131
12층,119
K사,1
Doro사,2
624번지,10
9차,6
19곳,92
1980년대,95
96명,71
138명,38
15~28일,1
1268명,3
2022학년도,5
120명,106
4.6명,1
255명,40
31명,235
111명,33
7946곳,1
866곳,1
7780명,1
A시행사,23
ICT융합,8
54평,1
4등분,1
70여개소,1
50일,25
HME스퀘어,7
6시간,32
3시간쯤,1
86학번,1
51세,1
A단계,1
1170만,1
39명,140
4단계,108
42종,39
458명,2
2032년,41
8차로,38
1261가구,6
149가구,12
34가구,19
39가구,3
38가구,10
13가구,7
4베이,44
34층,25
용인R&D센터,19
2035년,97
6천억,18
490명,20
446명,19
400명,382
436명,14
470명,27
465명,16
488명,10
452명,40
434명,8
326명,21
132명,40
335명,15
706만,3
3자녀,219
9500여가구,4
629가구,6
42가구,10
2131가구,4
3183가구,4
6202가구,4
6.28대,3
1721가구,89
750세대,1
봉담IC,2
A선수,39
53블록,5
778세대,1
186억,57
652억,67
1139면,2
389면,2
1528면,2
242면,4
3715대,3
13가지,3
311만,3
37번,5
30포,9
20포,9
4개국,6
2교대,10
283억,5
10시간,21
8시간,64
1병,10
10포인트,8
100병,5
7차선,1
5차선,2
51억,31
8레인,15
산10-3,4
4번,174
58만,51
5000평,8
6997명,11
672명,18
85세,9
2750만,16
8~9일,7
TV시청,6
6~30분,8
3998억,7
5394억,6
5652억,7
5027억,6
4593억,6
1주택자,65
2275억,6
1723억,6
2분,77
17종,11
72포,1
29포,1
225만,2
90여개,2
374만,3
SNS민원창구,3
8연패,3
8초,2
3관왕,44
41.33대,1
731개,1
257가구,2
378실,3
992가구,14
6채,6
15채,2
16채,3
653필지,1
16호,3
474억,24
271억,26
272곳,13
127곳,15
258곳,11
1470여개,7
8대,54
500세대,65
176억,15
46억,51
3437건,7
C법인,42
E주식회사,7
761억,8
10살,98
50여분,18
C양,274
2라운드,71
144타,10
신갈IC,31
EY한영회계법인,1
4853평,1
1943년,5
4권,6
2권,25
78세,15
82세,7
97일,1
5.18민주,5
